"fecha","compra","venta"
2022-01-01,3.975,3.998
2022-01-02,3.975,3.998
2022-01-03,3.975,3.998
2022-01-04,3.987,3.995
2022-01-05,3.963,3.968
2022-01-06,3.953,3.965
2022-01-07,3.967,3.973
2022-01-08,3.948,3.955
2022-01-09,3.948,3.955
2022-01-10,3.948,3.955
2022-01-11,3.925,3.933
2022-01-12,3.919,3.925
2022-01-13,3.897,3.901
2022-01-14,3.895,3.9
2022-01-15,3.879,3.887
2022-01-16,3.879,3.887
2022-01-17,3.879,3.887
2022-01-18,3.846,3.869
2022-01-19,3.848,3.856
2022-01-20,3.859,3.866
2022-01-21,3.851,3.859
2022-01-22,3.82,3.834
2022-01-23,3.82,3.834
2022-01-24,3.82,3.834
2022-01-25,3.835,3.842
2022-01-26,3.843,3.852
2022-01-27,3.84,3.849
2022-01-28,3.833,3.839
2022-01-29,3.839,3.849
2022-01-30,3.839,3.849
2022-01-31,3.839,3.849
2022-02-01,3.84,3.846
2022-02-02,3.866,3.878
2022-02-03,3.852,3.86
2022-02-04,3.858,3.863
2022-02-05,3.867,3.873
2022-02-06,3.867,3.873
2022-02-07,3.867,3.873
2022-02-08,3.839,3.848
2022-02-09,3.837,3.845
2022-02-10,3.821,3.834
2022-02-11,3.756,3.767
2022-02-12,3.749,3.758
2022-02-13,3.749,3.758
2022-02-14,3.749,3.758
2022-02-15,3.782,3.789
2022-02-16,3.797,3.806
2022-02-17,3.769,3.785
2022-02-18,3.747,3.75
2022-02-19,3.712,3.726
2022-02-20,3.712,3.726
2022-02-21,3.712,3.726
2022-02-22,3.738,3.752
2022-02-23,3.737,3.745
2022-02-24,3.709,3.715
2022-02-25,3.786,3.788
2022-02-26,3.753,3.763
2022-02-27,3.753,3.763
2022-02-28,3.753,3.763
2022-03-01,3.753,3.759
2022-03-02,3.782,3.791
2022-03-03,3.763,3.77
2022-03-04,3.725,3.735
2022-03-05,3.746,3.76
2022-03-06,3.746,3.76
2022-03-07,3.746,3.76
2022-03-08,3.742,3.751
2022-03-09,3.729,3.736
2022-03-10,3.714,3.718
2022-03-11,3.714,3.721
2022-03-12,3.688,3.698
2022-03-13,3.688,3.698
2022-03-14,3.688,3.698
2022-03-15,3.708,3.715
2022-03-16,3.726,3.735
2022-03-17,3.723,3.729
2022-03-18,3.73,3.736
2022-03-19,3.761,3.776
2022-03-20,3.761,3.776
2022-03-21,3.761,3.776
2022-03-22,3.782,3.79
2022-03-23,3.769,3.776
2022-03-24,3.766,3.773
2022-03-25,3.743,3.756
2022-03-26,3.725,3.731
2022-03-27,NA,NA
2022-03-28,NA,NA
2022-03-29,3.726,3.737
2022-03-30,3.717,3.724
2022-03-31,3.723,3.728
2022-04-01,3.695,3.701
2022-04-02,3.641,3.663
2022-04-03,NA,NA
2022-04-04,NA,NA
2022-04-05,3.627,3.634
2022-04-06,3.686,3.69
2022-04-07,3.71,3.72
2022-04-08,3.707,3.714
2022-04-09,3.709,3.715
2022-04-10,NA,NA
2022-04-11,NA,NA
2022-04-12,3.709,3.721
2022-04-13,3.698,3.706
2022-04-14,3.728,3.736
2022-04-15,3.728,3.736
2022-04-16,3.728,3.736
2022-04-17,3.728,3.736
2022-04-18,3.728,3.736
2022-04-19,3.73,3.742
2022-04-20,3.725,3.736
2022-04-21,3.702,3.709
2022-04-22,3.723,3.734
2022-04-23,3.758,3.766
2022-04-24,3.758,3.766
2022-04-25,3.758,3.766
2022-04-26,3.807,3.815
2022-04-27,3.811,3.818
2022-04-28,3.824,3.83
2022-04-29,3.846,3.852
2022-04-30,3.83,3.838
2022-05-01,3.83,3.838
2022-05-02,3.83,3.838
2022-05-03,3.838,3.848
2022-05-04,3.824,3.826
2022-05-05,3.797,3.805
2022-05-06,3.786,3.79
2022-05-07,3.803,3.811
2022-05-08,3.803,3.811
2022-05-09,3.803,3.811
2022-05-10,3.814,3.814
2022-05-11,3.81,3.816
2022-05-12,3.78,3.788
2022-05-13,3.795,3.801
2022-05-14,3.772,3.786
2022-05-15,3.772,3.786
2022-05-16,3.772,3.786
2022-05-17,3.777,3.787
2022-05-18,3.755,3.762
2022-05-19,3.766,3.772
2022-05-20,3.745,3.754
2022-05-21,3.728,3.738
2022-05-22,3.728,3.738
2022-05-23,3.728,3.738
2022-05-24,3.711,3.72
2022-05-25,3.713,3.719
2022-05-26,3.685,3.694
2022-05-27,3.657,3.663
2022-05-28,3.663,3.669
2022-05-29,3.663,3.669
2022-05-30,3.663,3.669
2022-05-31,3.665,3.683
2022-06-01,3.695,3.707
2022-06-02,3.718,3.726
2022-06-03,3.707,3.714
2022-06-04,3.702,3.712
2022-06-05,3.702,3.712
2022-06-06,3.702,3.712
2022-06-07,3.724,3.731
2022-06-08,3.747,3.755
2022-06-09,3.751,3.758
2022-06-10,3.749,3.756
2022-06-11,3.765,3.778
2022-06-12,3.765,3.778
2022-06-13,3.765,3.778
2022-06-14,3.779,3.783
2022-06-15,3.751,3.759
2022-06-16,3.719,3.731
2022-06-17,3.718,3.727
2022-06-18,3.715,3.728
2022-06-19,3.715,3.728
2022-06-20,3.715,3.728
2022-06-21,3.714,3.729
2022-06-22,3.717,3.724
2022-06-23,3.724,3.731
2022-06-24,3.747,3.753
2022-06-25,3.774,3.782
2022-06-26,NA,NA
2022-06-27,NA,NA
2022-06-28,3.783,3.791
2022-06-29,3.77,3.788
2022-06-30,NA,NA
2022-07-01,3.82,3.83
2022-07-02,3.843,3.854
2022-07-03,NA,NA
2022-07-04,NA,NA
2022-07-05,3.827,3.839
2022-07-06,3.856,3.862
2022-07-07,3.878,3.888
2022-07-08,3.881,3.888
2022-07-09,3.897,3.905
2022-07-10,NA,NA
2022-07-11,NA,NA
2022-07-12,3.928,3.939
2022-07-13,3.965,3.972
2022-07-14,3.959,3.968
2022-07-15,3.951,3.958
2022-07-16,3.884,3.906
2022-07-17,NA,NA
2022-07-18,NA,NA
2022-07-19,3.884,3.892
2022-07-20,3.866,3.878
2022-07-21,3.878,3.888
2022-07-22,3.905,3.914
2022-07-23,3.91,3.918
2022-07-24,NA,NA
2022-07-25,NA,NA
2022-07-26,3.91,3.919
2022-07-27,3.911,3.921
2022-07-28,3.916,3.925
2022-07-29,3.916,3.925
2022-07-30,3.916,3.925
2022-07-31,3.916,3.925
2022-08-01,3.916,3.925
2022-08-02,3.885,3.897
2022-08-03,3.914,3.919
2022-08-04,3.914,3.92
2022-08-05,3.885,3.897
2022-08-06,3.896,3.905
2022-08-07,3.896,3.905
2022-08-08,3.896,3.905
2022-08-09,3.911,3.916
2022-08-10,3.927,3.932
2022-08-11,3.893,3.899
2022-08-12,3.882,3.888
2022-08-13,3.859,3.865
2022-08-14,3.859,3.865
2022-08-15,3.859,3.865
2022-08-16,3.849,3.856
2022-08-17,3.858,3.86
2022-08-18,3.838,3.847
2022-08-19,3.838,3.847
2022-08-20,3.85,3.857
2022-08-21,3.85,3.857
2022-08-22,3.85,3.857
2022-08-23,3.869,3.88
2022-08-24,3.856,3.864
2022-08-25,3.861,3.867
2022-08-26,3.849,3.861
2022-08-27,3.836,3.847
2022-08-28,3.836,3.847
2022-08-29,3.836,3.847
2022-08-30,3.829,3.838
2022-08-31,3.829,3.838
