"fecha","compra","venta"
2023-01-01,3.808,3.82
2023-01-02,3.808,3.82
2023-01-03,NA,NA
2023-01-04,3.812,3.823
2023-01-05,3.822,3.827
2023-01-06,3.824,3.83
2023-01-07,3.8,3.806
2023-01-08,3.8,3.806
2023-01-09,3.8,3.806
2023-01-10,3.792,3.803
2023-01-11,3.802,3.806
2023-01-12,3.782,3.783
2023-01-13,3.779,3.784
2023-01-14,3.802,3.806
2023-01-15,3.802,3.806
2023-01-16,3.802,3.806
2023-01-17,3.815,3.822
2023-01-18,3.837,3.842
2023-01-19,3.829,3.836
2023-01-20,3.857,3.861
2023-01-21,3.852,3.859
2023-01-22,3.852,3.859
2023-01-23,3.852,3.859
2023-01-24,3.866,3.873
2023-01-25,3.88,3.885
2023-01-26,3.892,3.9
2023-01-27,3.861,3.867
2023-01-28,3.824,3.829
2023-01-29,3.824,3.829
2023-01-30,3.824,3.829
2023-01-31,3.853,3.859
2023-02-01,3.844,3.851
2023-02-02,3.843,3.848
2023-02-03,3.83,3.835
2023-02-04,3.843,3.847
2023-02-05,3.843,3.847
2023-02-06,3.843,3.847
2023-02-07,3.849,3.855
2023-02-08,3.843,3.848
2023-02-09,3.852,3.856
2023-02-10,3.863,3.869
2023-02-11,3.853,3.858
2023-02-12,3.853,3.858
2023-02-13,3.853,3.858
2023-02-14,3.849,3.854
2023-02-15,3.858,3.861
2023-02-16,3.858,3.865
2023-02-17,3.862,3.868
2023-02-18,3.839,3.849
2023-02-19,3.839,3.849
2023-02-20,3.839,3.849
2023-02-21,3.84,3.85
2023-02-22,3.831,3.836
2023-02-23,3.821,3.827
2023-02-24,3.8,3.805
2023-02-25,3.81,3.82
2023-02-26,3.81,3.82
2023-02-27,3.81,3.82
2023-02-28,3.811,3.816
2023-03-01,3.803,3.81
2023-03-02,3.779,3.784
2023-03-03,3.779,3.784
2023-03-04,3.782,3.789
2023-03-05,3.782,3.789
2023-03-06,3.782,3.789
2023-03-07,3.784,3.788
2023-03-08,3.784,3.789
2023-03-09,3.784,3.788
2023-03-10,3.788,3.792
2023-03-11,3.781,3.786
2023-03-12,3.781,3.786
2023-03-13,3.781,3.786
2023-03-14,3.798,3.803
2023-03-15,3.785,3.789
2023-03-16,3.804,3.808
2023-03-17,3.796,3.801
2023-03-18,3.792,3.798
2023-03-19,3.792,3.798
2023-03-20,3.792,3.798
2023-03-21,3.779,3.785
2023-03-22,3.765,3.77
2023-03-23,3.767,3.774
2023-03-24,3.762,3.767
2023-03-25,3.764,3.773
2023-03-26,3.764,3.773
2023-03-27,3.764,3.773
2023-03-28,3.765,3.772
2023-03-29,3.763,3.768
2023-03-30,3.755,3.759
2023-03-31,3.755,3.761
2023-04-01,3.758,3.765
2023-04-02,3.758,3.765
2023-04-03,3.758,3.765
2023-04-04,3.764,3.77
2023-04-05,3.769,3.773
2023-04-06,3.769,3.774
2023-04-07,NA,NA
2023-04-08,NA,NA
2023-04-09,NA,NA
2023-04-10,NA,NA
2023-04-11,3.773,3.781
2023-04-12,3.783,3.787
2023-04-13,3.773,3.78
2023-04-14,3.774,3.777
2023-04-15,3.778,3.784
2023-04-16,3.778,3.784
2023-04-17,3.778,3.784
2023-04-18,3.779,3.785
2023-04-19,3.774,3.781
2023-04-20,3.774,3.781
2023-04-21,3.762,3.768
2023-04-22,3.762,3.768
2023-04-23,3.762,3.768
2023-04-24,3.762,3.768
2023-04-25,3.754,3.761
2023-04-26,3.752,3.762
2023-04-27,3.742,3.75
2023-04-28,3.731,3.737
2023-04-29,3.711,3.719
2023-04-30,3.711,3.719
2023-05-01,3.711,3.719
2023-05-02,3.711,3.719
2023-05-03,3.706,3.715
2023-05-04,3.704,3.709
2023-05-05,3.716,3.719
2023-05-06,3.709,3.717
2023-05-07,3.709,3.717
2023-05-08,3.709,3.717
2023-05-09,3.702,3.71
2023-05-10,3.698,3.702
2023-05-11,3.67,3.678
2023-05-12,3.675,3.683
2023-05-13,3.649,3.659
2023-05-14,3.649,3.659
2023-05-15,3.649,3.659
2023-05-16,3.656,3.667
2023-05-17,3.678,3.683
2023-05-18,3.691,3.697
2023-05-19,3.698,3.702
2023-05-20,3.688,3.696
2023-05-21,3.688,3.696
2023-05-22,3.688,3.696
2023-05-23,3.686,3.695
2023-05-24,3.689,3.695
2023-05-25,3.683,3.69
2023-05-26,3.692,3.698
2023-05-27,3.671,3.675
2023-05-28,3.671,3.675
2023-05-29,3.671,3.675
2023-05-30,3.667,3.68
2023-05-31,3.671,3.677
2023-06-01,3.675,3.682
2023-06-02,3.676,3.684
2023-06-03,3.682,3.688
2023-06-04,3.682,3.688
2023-06-05,3.682,3.688
2023-06-06,3.673,3.68
2023-06-07,3.687,3.691
2023-06-08,3.671,3.674
2023-06-09,3.655,3.661
2023-06-10,3.641,3.646
2023-06-11,3.641,3.646
2023-06-12,3.641,3.646
2023-06-13,3.65,3.658
2023-06-14,3.641,3.648
2023-06-15,3.646,3.652
2023-06-16,3.648,3.654
2023-06-17,3.631,3.645
2023-06-18,3.631,3.645
2023-06-19,3.631,3.645
2023-06-20,3.629,3.647
2023-06-21,3.641,3.648
2023-06-22,3.64,3.645
2023-06-23,3.634,3.641
2023-06-24,3.628,3.638
2023-06-25,3.628,3.638
2023-06-26,3.628,3.638
2023-06-27,3.635,3.642
2023-06-28,3.633,3.64
2023-06-29,3.628,3.636
2023-06-30,3.628,3.636
2023-07-01,3.624,3.633
2023-07-02,3.624,3.633
2023-07-03,3.624,3.633
2023-07-04,3.621,3.63
2023-07-05,3.624,3.634
2023-07-06,3.627,3.633
2023-07-07,3.641,3.648
2023-07-08,3.637,3.643
2023-07-09,3.637,3.643
2023-07-10,3.637,3.643
2023-07-11,3.636,3.643
2023-07-12,3.632,3.638
2023-07-13,3.588,3.599
2023-07-14,3.565,3.573
2023-07-15,3.558,3.567
2023-07-16,3.558,3.567
2023-07-17,3.558,3.567
2023-07-18,3.555,3.57
2023-07-19,3.552,3.557
2023-07-20,3.571,3.589
2023-07-21,3.583,3.592
2023-07-22,3.58,3.591
2023-07-23,3.58,3.591
2023-07-24,3.58,3.591
2023-07-25,3.581,3.588
2023-07-26,3.596,3.604
2023-07-27,3.595,3.602
2023-07-28,3.591,3.602
2023-07-29,3.591,3.602
2023-07-30,3.591,3.602
2023-07-31,3.591,3.602
2023-08-01,3.602,3.614
2023-08-02,3.624,3.634
2023-08-03,3.655,3.661
2023-08-04,3.69,3.696
2023-08-05,3.687,3.692
2023-08-06,3.687,3.692
2023-08-07,3.687,3.692
2023-08-08,3.686,3.694
2023-08-09,3.704,3.71
2023-08-10,3.691,3.699
2023-08-11,3.672,3.678
2023-08-12,3.678,3.684
2023-08-13,3.678,3.684
2023-08-14,3.678,3.684
2023-08-15,3.695,3.703
2023-08-16,3.713,3.719
2023-08-17,3.71,3.717
2023-08-18,3.723,3.73
2023-08-19,3.712,3.72
2023-08-20,3.712,3.72
2023-08-21,3.712,3.72
2023-08-22,3.711,3.722
2023-08-23,3.724,3.729
2023-08-24,3.709,3.716
2023-08-25,3.695,3.701
2023-08-26,3.69,3.699
2023-08-27,3.69,3.699
2023-08-28,3.69,3.699
2023-08-29,3.691,3.699
2023-08-30,3.689,3.696
2023-08-31,3.689,3.696
2023-09-01,3.692,3.699
2023-09-02,3.688,3.695
2023-09-03,3.688,3.695
2023-09-04,3.688,3.695
2023-09-05,3.68,3.698
2023-09-06,3.703,3.709
2023-09-07,3.703,3.708
2023-09-08,3.708,3.713
2023-09-09,3.712,3.716
2023-09-10,3.712,3.716
2023-09-11,3.712,3.716
2023-09-12,3.696,3.704
2023-09-13,3.701,3.708
2023-09-14,3.701,3.706
2023-09-15,3.707,3.712
2023-09-16,3.716,3.722
2023-09-17,3.716,3.722
2023-09-18,3.716,3.722
2023-09-19,3.704,3.714
2023-09-20,3.711,3.717
2023-09-21,3.712,3.718
2023-09-22,3.738,3.744
2023-09-23,3.744,3.748
2023-09-24,3.744,3.748
2023-09-25,3.744,3.748
2023-09-26,3.765,3.773
2023-09-27,3.779,3.787
2023-09-28,3.793,3.799
2023-09-29,3.801,3.806
2023-09-30,3.79,3.797
2023-10-01,3.79,3.797
2023-10-02,3.79,3.797
2023-10-03,3.793,3.807
2023-10-04,3.806,3.812
2023-10-05,3.813,3.818
2023-10-06,3.819,3.826
2023-10-07,3.823,3.828
2023-10-08,3.823,3.828
2023-10-09,3.823,3.828
2023-10-10,3.826,3.837
2023-10-11,3.82,3.828
2023-10-12,3.822,3.826
2023-10-13,3.836,3.841
2023-10-14,3.842,3.85
2023-10-15,3.842,3.85
2023-10-16,3.842,3.85
2023-10-17,3.853,3.859
2023-10-18,3.854,3.861
2023-10-19,3.864,3.872
2023-10-20,3.868,3.873
2023-10-21,3.867,3.876
2023-10-22,3.867,3.876
2023-10-23,3.867,3.876
2023-10-24,3.867,3.877
2023-10-25,3.862,3.87
2023-10-26,3.866,3.871
2023-10-27,3.865,3.872
2023-10-28,3.856,3.863
2023-10-29,3.856,3.863
2023-10-30,3.856,3.863
2023-10-31,3.84,3.851
2023-11-01,3.832,3.842
2023-11-02,3.832,3.842
2023-11-03,3.797,3.807
2023-11-04,3.749,3.759
2023-11-05,3.749,3.759
2023-11-06,3.749,3.759
2023-11-07,3.754,3.765
2023-11-08,3.769,3.775
2023-11-09,3.793,3.797
2023-11-10,3.79,3.797
2023-11-11,3.806,3.813
2023-11-12,3.806,3.813
2023-11-13,3.806,3.813
2023-11-14,3.808,3.813
2023-11-15,3.765,3.777
2023-11-16,3.769,3.775
2023-11-17,3.767,3.772
2023-11-18,3.768,3.775
2023-11-19,3.768,3.775
2023-11-20,3.768,3.775
2023-11-21,3.74,3.749
2023-11-22,3.738,3.745
2023-11-23,3.74,3.746
2023-11-24,3.732,3.741
2023-11-25,3.728,3.739
2023-11-26,3.728,3.739
2023-11-27,3.728,3.739
2023-11-28,3.717,3.729
2023-11-29,3.725,3.732
2023-11-30,3.729,3.737
2023-12-01,3.733,3.739
2023-12-02,3.729,3.737
2023-12-03,3.729,3.737
2023-12-04,3.729,3.737
2023-12-05,3.738,3.744
2023-12-06,3.751,3.755
2023-12-07,3.751,3.757
2023-12-08,3.749,3.757
2023-12-09,3.749,3.757
2023-12-10,3.749,3.757
2023-12-11,3.749,3.757
2023-12-12,3.762,3.774
2023-12-13,3.772,3.778
2023-12-14,3.781,3.785
2023-12-15,3.763,3.772
2023-12-16,3.756,3.771
2023-12-17,3.756,3.771
2023-12-18,3.756,3.771
2023-12-19,3.742,3.756
2023-12-20,3.712,3.719
2023-12-21,3.702,3.712
2023-12-22,3.702,3.709
2023-12-23,3.682,3.69
2023-12-24,3.682,3.69
2023-12-25,3.682,3.69
2023-12-26,3.682,3.69
2023-12-27,3.677,3.696
2023-12-28,3.687,3.694
2023-12-29,3.695,3.705
2023-12-30,3.705,3.713
2023-12-31,3.705,3.713
